DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,SOURCE_KEY_NUMBER
2020-06-17 00:00:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,731.0,6479798.0,0
2020-06-17 00:15:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 00:30:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 00:45:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 01:00:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 01:15:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 01:30:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 01:45:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 02:00:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 02:15:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 02:30:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 02:45:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 03:00:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 03:15:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 03:30:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 03:45:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 04:00:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 04:15:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 04:30:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 04:45:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 05:00:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 05:15:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 05:30:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 05:45:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 06:00:00,4135001.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6479798.0,0
2020-06-17 06:15:00,4135001.0,1BY6WEcLGh8j5v7,193.58928571500002,18.699107143,2774.6875,6482572.6875,0
2020-06-17 06:30:00,4135001.0,1BY6WEcLGh8j5v7,193.58928571500002,18.699107143,2774.6875,6482572.6875,0
2020-06-17 06:45:00,4135001.0,1BY6WEcLGh8j5v7,355.5,34.45,0.0,6479798.0,0
2020-06-17 07:00:00,4135001.0,1BY6WEcLGh8j5v7,1266.0,123.2875,14.75,6479812.75,0
2020-06-17 07:15:00,4135001.0,1BY6WEcLGh8j5v7,1864.714286,182.6714286,52.42857143,6479850.429,0
2020-06-17 07:30:00,4135001.0,1BY6WEcLGh8j5v7,3043.625,298.8125,114.375,6479912.375,0
2020-06-17 07:45:00,4135001.0,1BY6WEcLGh8j5v7,3631.142857,356.9142857,198.1428571,6479996.143,0
2020-06-17 08:00:00,4135001.0,1BY6WEcLGh8j5v7,3243.857143,318.9857143,277.1428571,6480075.143,0
2020-06-17 08:15:00,4135001.0,1BY6WEcLGh8j5v7,3616.875,355.5,359.75,6480157.75,0
2020-06-17 08:30:00,4135001.0,1BY6WEcLGh8j5v7,3854.0,378.7142857,454.1428571,6480252.143,0
2020-06-17 08:45:00,4135001.0,1BY6WEcLGh8j5v7,3644.625,358.2125,544.125,6480342.125,0
2020-06-17 09:00:00,4135001.0,1BY6WEcLGh8j5v7,4811.0,471.8142857,650.7142857,6480448.714,0
2020-06-17 09:15:00,4135001.0,1BY6WEcLGh8j5v7,4995.125,489.725,770.5,6480568.5,0
2020-06-17 09:30:00,4135001.0,1BY6WEcLGh8j5v7,6143.571429,601.9428571,910.1428571,6480708.143,0
2020-06-17 09:45:00,4135001.0,1BY6WEcLGh8j5v7,5276.375,517.2,1044.25,6480842.25,0
2020-06-17 10:00:00,4135001.0,1BY6WEcLGh8j5v7,5786.0,566.9857143,1180.857143,6480978.857,0
2020-06-17 10:15:00,4135001.0,1BY6WEcLGh8j5v7,6298.0,617.0375,1329.375,6481127.375,0
2020-06-17 10:30:00,4135001.0,1BY6WEcLGh8j5v7,6747.0,660.8428571,1488.714286,6481286.714,0
2020-06-17 10:45:00,4135001.0,1BY6WEcLGh8j5v7,6404.5,627.4125,1657.75,6481455.75,0
2020-06-17 11:00:00,4135001.0,1BY6WEcLGh8j5v7,6260.571429,613.0857143,1787.857143,6481585.857,0
2020-06-17 11:15:00,4135001.0,1BY6WEcLGh8j5v7,7522.75,736.525,1985.75,6481783.75,0
2020-06-17 11:30:00,4135001.0,1BY6WEcLGh8j5v7,7074.285714,692.7571429,2162.857143,6481960.857,0
2020-06-17 11:45:00,4135001.0,1BY6WEcLGh8j5v7,10699.75,1045.0,2366.0,6482164.0,0
2020-06-17 12:00:00,4135001.0,1BY6WEcLGh8j5v7,9740.0,952.0857143,2632.0,6482430.0,0
2020-06-17 12:15:00,4135001.0,1BY6WEcLGh8j5v7,12764.125,1244.7875,2917.375,6482715.375,0
2020-06-17 12:30:00,4135001.0,1BY6WEcLGh8j5v7,8892.285714,869.5857143,3196.428571,6482994.429,0
2020-06-17 12:45:00,4135001.0,1BY6WEcLGh8j5v7,9914.857143,969.1714286,3395.857143,6483193.857,0
2020-06-17 13:00:00,4135001.0,1BY6WEcLGh8j5v7,6662.25,652.525,3608.5,6483406.5,0
2020-06-17 13:15:00,4135001.0,1BY6WEcLGh8j5v7,9013.142857,881.6428571,3793.142857,6483591.143,0
2020-06-17 13:30:00,4135001.0,1BY6WEcLGh8j5v7,9304.375,909.95,4018.125,6483816.125,0
2020-06-17 13:45:00,4135001.0,1BY6WEcLGh8j5v7,6538.428571,639.9142857,4237.0,6484035.0,0
2020-06-17 14:00:00,4135001.0,1BY6WEcLGh8j5v7,5300.25,519.6875,4384.25,6484182.25,0
2020-06-17 14:15:00,4135001.0,1BY6WEcLGh8j5v7,5533.857143,542.4571429,4516.428571,6484314.429,0
2020-06-17 14:30:00,4135001.0,1BY6WEcLGh8j5v7,7932.875,776.325,4684.625,6484482.625,0
2020-06-17 14:45:00,4135001.0,1BY6WEcLGh8j5v7,6894.142857,675.1571429,4869.571429,6484667.571,0
2020-06-17 15:00:00,4135001.0,1BY6WEcLGh8j5v7,4601.75,451.4625,5009.5,6484807.5,0
2020-06-17 15:15:00,4135001.0,1BY6WEcLGh8j5v7,1443.0,140.9857143,5086.0,6484884.0,0
2020-06-17 15:30:00,4135001.0,1BY6WEcLGh8j5v7,889.625,86.35,5109.125,6484907.125,0
2020-06-17 15:45:00,4135001.0,1BY6WEcLGh8j5v7,1298.571429,126.5285714,5139.0,6484937.0,0
2020-06-17 16:00:00,4135001.0,1BY6WEcLGh8j5v7,2896.0,284.5125,5186.5,6484984.5,0
2020-06-17 16:15:00,4135001.0,1BY6WEcLGh8j5v7,3536.714286,347.2857143,5272.571429,6485070.571,0
